hub_code,schedule,job_category,riders,rider_yesterday,rider_lastweek,rider_2week,rider_3week,rider_4week,rider_lastyear,rider_52week,volume_last7day,volume_last3day,volume_last14day,volume_last21day,volume_last28day,quarter,day_of_week,is_weekend,month,day,is_holiday,is_after_sale
MAKATI,2020-01-30,Delivery,0,0,41,41,37,29,44,46,1347.0,1425.6666666666667,1629.2142857142858,1658.1904761904761,1742.8571428571429,Q1,thursday,weekday,1,30,not_holiday,not_after_sale
MAKATI,2020-01-29,Delivery,0,42,41,44,47,0,43,44,1626.7142857142858,1652.0,1779.4285714285713,1771.8095238095239,1742.8571428571429,Q1,wednesday,weekday,1,29,not_holiday,not_after_sale
MAKATI,2020-01-28,Delivery,42,47,45,41,45,0,44,43,1632.1428571428571,1385.6666666666667,1787.7857142857142,1788.3809523809523,1672.1071428571429,Q1,tuesday,weekday,1,28,not_holiday,not_after_sale
MAKATI,2020-01-27,Delivery,47,22,50,41,45,18,26,44,1762.7142857142858,1093.0,1788.7857142857142,1804.8095238095239,1620.0,Q1,monday,weekday,1,27,not_holiday,not_after_sale
MAKATI,2020-01-26,Delivery,22,29,21,22,22,16,26,26,1810.2857142857142,1491.0,1798.8571428571429,1820.4285714285713,1620.4642857142858,Q1,sunday,weekend,1,26,not_holiday,not_after_sale
MAKATI,2020-01-25,Delivery,29,35,25,30,31,25,37,26,1810.2857142857142,1749.6666666666667,1804.9285714285713,1839.3333333333333,1622.8571428571429,Q1,saturday,weekend,1,25,holiday,not_after_sale
MAKATI,2020-01-24,Delivery,35,41,41,39,40,32,42,37,1952.1428571428571,1950.0,1824.7857142857142,1873.4761904761904,1638.7142857142858,Q1,friday,weekday,1,24,not_holiday,not_after_sale
MAKATI,2020-01-23,Delivery,41,41,41,37,29,21,43,42,1911.4285714285713,2395.6666666666665,1813.7857142857142,1874.8095238095239,1610.4285714285713,Q1,thursday,weekday,1,23,not_holiday,not_after_sale
MAKATI,2020-01-22,Delivery,41,45,44,47,0,0,43,43,1932.1428571428571,2080.3333333333335,1844.3571428571429,1781.5714285714287,1540.5,Q1,wednesday,weekday,1,22,not_holiday,not_after_sale
MAKATI,2020-01-21,Delivery,45,50,41,45,0,0,42,43,1943.4285714285713,1801.3333333333333,1866.5,1685.4285714285713,1468.3928571428571,Q1,tuesday,weekday,1,21,not_holiday,not_after_sale
MAKATI,2020-01-20,Delivery,50,21,41,45,18,34,19,42,1814.8571428571429,1535.0,1825.8571428571429,1572.4285714285713,1411.2857142857142,Q1,monday,weekday,1,20,not_holiday,not_after_sale
MAKATI,2020-01-19,Delivery,21,25,22,22,16,32,23,19,1787.4285714285713,1727.0,1825.5,1557.1904761904761,1426.8571428571429,Q1,sunday,weekend,1,19,not_holiday,not_after_sale
MAKATI,2020-01-18,Delivery,25,41,30,31,25,38,40,23,1799.5714285714287,2034.0,1853.8571428571429,1560.3809523809523,1457.8571428571429,Q1,saturday,weekend,1,18,not_holiday,not_after_sale
MAKATI,2020-01-17,Delivery,41,41,39,40,32,49,40,40,1697.4285714285713,1929.6666666666667,1834.1428571428571,1534.2380952380952,1480.6428571428571,Q1,friday,weekday,1,17,not_holiday,not_after_sale
MAKATI,2020-01-16,Delivery,41,44,37,29,21,49,39,40,1716.1428571428571,2170.3333333333335,1856.5,1510.0952380952381,1543.9285714285713,Q1,thursday,weekday,1,16,not_holiday,not_after_sale
MAKATI,2020-01-15,Delivery,44,41,47,0,0,55,37,39,1756.5714285714287,1742.6666666666667,1706.2857142857142,1409.952380952381,1620.5357142857142,Q1,wednesday,weekday,1,15,not_holiday,not_after_sale
MAKATI,2020-01-14,Delivery,41,41,45,0,0,64,33,37,1789.5714285714287,1465.6666666666667,1556.4285714285713,1310.047619047619,1725.8571428571429,Q1,tuesday,weekday,1,14,not_holiday,not_after_sale
MAKATI,2020-01-13,Delivery,41,22,45,18,34,60,17,33,1836.8571428571429,1261.0,1451.2142857142858,1276.7619047619048,1806.0357142857142,Q1,monday,weekday,1,13,not_holiday,not_after_sale
MAKATI,2020-01-12,Delivery,22,30,22,16,32,33,23,17,1863.5714285714287,1560.6666666666667,1442.0714285714287,1306.6666666666667,1850.4285714285713,Q1,sunday,weekend,1,12,not_holiday,not_after_sale
MAKATI,2020-01-11,Delivery,30,39,31,25,38,37,33,23,1908.1428571428571,1933.6666666666667,1440.7857142857142,1343.952380952381,1900.1428571428571,Q1,saturday,weekend,1,11,not_holiday,not_after_sale
MAKATI,2020-01-10,Delivery,39,37,40,32,49,47,36,33,1970.8571428571429,2144.6666666666665,1452.6428571428571,1408.3809523809523,1962.0714285714287,Q1,friday,weekday,1,10,not_holiday,not_after_sale
MAKATI,2020-01-09,Delivery,37,47,29,21,49,47,34,36,1996.8571428571429,2452.0,1407.0714285714287,1486.5238095238096,2022.5,Q1,thursday,weekday,1,9,not_holiday,not_after_sale
MAKATI,2020-01-08,Delivery,47,45,0,0,55,45,36,34,1656.0,1992.3333333333333,1236.6428571428571,1575.1904761904761,2046.75,Q1,wednesday,weekday,1,8,not_holiday,not_after_sale
MAKATI,2020-01-07,Delivery,45,45,0,0,64,50,35,36,1323.2857142857142,1742.3333333333333,1070.2857142857142,1704.6190476190477,2073.75,Q1,tuesday,weekday,1,7,not_holiday,not_after_sale
MAKATI,2020-01-06,Delivery,45,22,18,34,60,45,18,35,1065.5714285714287,1573.6666666666667,996.71428571428567,1795.7619047619048,2103.0357142857142,Q1,monday,weekday,1,6,not_holiday,not_after_sale
MAKATI,2020-01-05,Delivery,22,31,16,32,33,26,23,18,1020.5714285714286,1871.6666666666667,1028.2142857142858,1846.047619047619,2123.8571428571427,Q1,sunday,weekend,1,5,not_holiday,not_after_sale
MAKATI,2020-01-04,Delivery,31,40,25,38,37,31,37,23,973.42857142857144,1345.3333333333333,1061.8571428571429,1897.4761904761904,2119.8571428571427,Q1,saturday,weekend,1,4,not_holiday,not_after_sale
MAKATI,2020-01-03,Delivery,40,29,32,49,47,49,37,37,934.42857142857144,633.66666666666663,1127.1428571428571,1959.1428571428571,2147.9642857142858,Q1,friday,weekday,1,3,not_holiday,not_after_sale
MAKATI,2020-01-02,Delivery,29,0,21,49,47,53,27,37,817.28571428571433,279.0,1231.3571428571429,2031.047619047619,2192.9642857142858,Q1,thursday,weekday,1,2,not_holiday,not_after_sale
MAKATI,2020-01-01,Delivery,0,0,0,55,45,37,0,27,817.28571428571433,509.66666666666669,1534.7857142857142,2177.0,2289.6428571428573,Q1,wednesday,weekday,1,1,holiday,not_after_sale
MAKATI,2019-12-31,Delivery,0,18,0,64,50,31,2,0,817.28571428571433,926.0,1895.2857142857142,2323.9047619047619,2353.7857142857142,Q4,tuesday,weekday,12,31,holiday,not_after_sale
MAKATI,2019-12-30,Delivery,18,16,34,60,45,39,13,2,927.85714285714289,1267.6666666666667,2160.8571428571427,2448.8571428571427,2425.7857142857142,Q4,monday,weekday,12,30,holiday,not_after_sale
MAKATI,2019-12-29,Delivery,16,25,32,33,26,22,18,13,1035.8571428571429,1397.3333333333333,2258.7857142857142,2491.6190476190477,2438.0,Q4,sunday,weekend,12,29,not_holiday,not_after_sale
MAKATI,2019-12-28,Delivery,25,32,38,37,31,26,32,18,1150.2857142857142,981.0,2359.5,2502.0,2444.0714285714284,Q4,saturday,weekend,12,28,not_holiday,not_after_sale
MAKATI,2019-12-27,Delivery,32,21,49,47,49,38,34,32,1319.8571428571429,360.33333333333331,2471.5,2552.4761904761904,2458.6071428571427,Q4,friday,weekday,12,27,not_holiday,not_after_sale
MAKATI,2019-12-26,Delivery,21,0,49,47,53,45,22,34,1645.4285714285713,537.0,2637.9285714285716,2651.5238095238096,2509.9642857142858,Q4,thursday,weekday,12,26,not_holiday,not_after_sale
MAKATI,2019-12-25,Delivery,0,0,55,45,37,46,0,22,2252.2857142857142,1019.6666666666666,2856.8571428571427,2780.4285714285716,2605.5,Q4,wednesday,weekday,12,25,holiday,not_after_sale
MAKATI,2019-12-24,Delivery,0,34,64,50,31,43,11,0,2973.2857142857142,1703.0,3077.2142857142858,2865.9523809523807,2690.1428571428573,Q4,tuesday,weekday,12,24,holiday,not_after_sale
MAKATI,2019-12-23,Delivery,34,32,60,45,39,45,17,11,3393.8571428571427,2182.3333333333335,3209.3571428571427,2925.0952380952381,2741.3214285714284,Q4,monday,weekday,12,23,not_holiday,not_after_sale
MAKATI,2019-12-22,Delivery,32,38,33,26,22,18,24,17,3481.7142857142858,2819.6666666666665,3219.5,2905.3809523809523,2720.0,Q4,sunday,weekend,12,22,not_holiday,not_after_sale
MAKATI,2019-12-21,Delivery,38,49,37,31,26,26,38,24,3568.7142857142858,3552.3333333333335,3177.8571428571427,2875.3333333333335,2697.5714285714284,Q4,saturday,weekend,12,21,not_holiday,not_after_sale
